account_id,bureau_pull_date,credit_score_current,credit_score_3m_ago,credit_score_6m_ago,active_loan_count,total_outstanding_all_lenders,missed_payments_other_lenders_6m,worst_dpd_12m,hard_enquiries_30d,hard_enquiries_60d,hard_enquiries_90d,new_accounts_opened_6m,credit_utilisation_ratio,writeoff_or_settled_flag
ACC_00104,2024-06-01,800,800,806,1,662458,0,0,0,0,0,0,,False
ACC_00104,2024-12-01,802,810,806,1,778170,0,0,0,0,0,0,,False
ACC_00105,2024-01-01,805,805,806,2,1300163,0,0,0,0,0,0,,False
ACC_00105,2024-06-01,807,815,821,2,1199366,0,0,0,0,0,0,,False
ACC_00105,2024-12-01,817,816,814,2,758044,0,0,0,0,0,0,,False
ACC_00106,2024-01-01,712,718,723,2,127910,0,0,0,0,0,0,,False
ACC_00106,2024-06-01,719,715,722,1,43681,0,0,0,0,0,0,,False
ACC_00106,2024-12-01,687,668,649,4,212900,3,56,2,3,5,2,,False
ACC_00107,2024-01-01,748,745,746,1,49742,0,0,0,0,0,0,0.34,False
ACC_00107,2024-06-01,759,759,764,3,154689,0,0,0,0,0,0,0.36,False
ACC_00107,2024-12-01,767,770,779,3,119625,0,0,0,0,0,0,0.35,False
ACC_00108,2024-01-01,675,680,685,1,932889,0,0,0,0,0,0,,False
ACC_00108,2024-06-01,686,691,688,3,3616299,0,0,0,0,0,0,,False
ACC_00108,2024-12-01,616,601,592,5,5662381,2,49,1,1,3,3,,False
ACC_00109,2024-01-01,800,804,810,2,1498846,0,0,0,0,0,0,,False
ACC_00109,2024-06-01,811,810,807,1,996044,0,0,0,0,0,0,,False
ACC_00109,2024-12-01,819,818,813,1,1122949,0,0,0,0,0,0,,False
ACC_00110,2024-01-01,620,600,591,3,568810,0,9,2,2,3,1,,False
ACC_00110,2024-06-01,584,573,565,4,771093,2,30,3,3,3,1,,False
ACC_00110,2024-12-01,559,549,542,4,826781,3,61,1,1,1,2,,True
ACC_00111,2024-01-01,608,599,580,2,7275120,0,11,2,4,4,1,,False
ACC_00111,2024-06-01,585,580,569,3,7131759,2,49,2,2,3,1,,False
ACC_00111,2024-12-01,548,525,502,4,10385286,3,50,1,3,3,2,,False
